comment,polarity
এ বার কার জন্মদিন পালন করেসেটা দেখার অপেক্ষাই থাকলাম,1
Ami porimoni k bibaho koritey chai,1
পড়িমনির দোস্ত বন্ধুরা এবার খুশি,1
অভিনন্দন আশা করি এবার আর ব্রিটিশবিরোধী আন্দোলনের প্রথম নারী শহীদ বীরকন্যা ,1
জয় শ্রীরাম ,1
Bangla vaidhorteo eto police chilo na,1
জেলগেট পার হইসে,1
কুচক্রী কারা  কারা আইজনশৃঙ্খলা বাহিনীরঅপব্যবহার করছে তা বের করা দরকার,1
good news,1
Better late than never,1
পরিমনি কি আজ লাইভে আসবে,1
সবই ভগবানের ইচ্ছা,1
Right,1
hahahahaha,1
hahaahahha,1
কারন টীকা দ্যাশে করনার টীকার সাপ্লাই নাই তাই জনগন ও নিয়নত্রিত মিডিয়ার সামনেপরীমণি মূলা ঝূলানো হয়েছে,0
কারে দেখুম  বিশাল পুলিশ বাহিনী  নাকি একলা নারী পরীমনি ,0
জি না তিনি কাল আসবেন,1
ha ha ha moja pailam,1
Certainly u r a legend Legend always focus on target🤣,1
Nijey nijer proshongsha koren,1
তাঁর গ্রেপ্তারে বাড়াবাড়ি করা হয়েছে,1
এসবের কি দরকার ছিল তে আবার,1
পাশে না থেকেও বিবৃতি দিয়েছেন ধান্দাবাজি,1
হাওয়া বুঝে কাজ করা বুদ্ধিমানের কাজ ভুল সঠিক দেখলে বিপদ,1
নোংরা জগত,0
যাক শুভবুদ্ধির উদয় হয়েছে Good👍👍,1
চিত্রনাট্যটা বেশ ভালই সুপারহিট,0
এরাই সঠিক সিদ্ধান্ত নিয়েছে প্রায়শ পত্রিকায় দেখি অমুক কে গ্রেপ্তার করেছে  বাড়ী তল্লাশী করে ইয়াবা হেরোইন আইস মদ অস্ত্র হরিনের চামড়া পাওয়া গেছে১-১৫ দিন রিমান্ডের পর মাস খানেক কারাগারে তারপর হাস্পাতালে ১ থেকে দুবছরের মধ্যে বেকসুর খালাশ পরীমনি আমার জানা মতে বাংলাদেশের চলচিত্রে সবচেয়ে সুন্দর নায়িকা একথা ৮০% স্বীকার করবে তারমধ্যে ফোবারস ১০০ জনের একজন মা-বাব হীন একা থাকে এই তার সমস্যা মধুর পিছে মৌমাছি থাকবে,1
সাকলাইন  ওনার কি হলো,1
Pori Moni is no longer in real path  She is stay a far distant from film  arena Film  world is an art arena  not  exercising other bad  profession  in name of film actress None expect it  Our film and  concerned artists are ourNations prestige Pori Moni at mid  night sets out for taking foreign wine  But our actor - Anwara Shabana and  Razzak never seen go to club at mid night for collection  foreign wine   Besides this Pori Moni  receives  sophisticated car worth about  tk 35 in exchange ofShe several times goes Arab Emirates  and pass there night  in a grand Hotel  of Buruz Khalifa hotel  in exchange  of  Already Gulshan hotel  authority filed GD against her as she  vandalised the club due to not getting  her expected foreign wine  ADC Golam  Saklain was with her in his government  quarter in 18 hours The investigatorsfind our who  had link with Pori Moni  Try to find out it not motive to harass  her  Police got important information  during remand period,0
গত ৪ আগস্ট পরীমনিকে বনানীর বাসা থেকে বিদেশি মদসহ গ্রেপ্তার করে র‍্যাব  তারপর থেকেই শুরু হলো রিমান্ড নাটক এ এক এলাহী কান্ড আদালতে তাকে কথা বলতে দেওয়া হলোনা বিদেশী মদের সাপ্লায়ার কারা,0
Pori Moni is in jail but her boy  friend ADC Saklain is in  his  risk less government job Dream  stay with other Pori Moni with 36  hours in the government quarter ,0
 এক ব্যটেলিয়ান সৈন্য নিয়ে পরিমণীর উপর ঝাপিয়ে পড়া  আসামী গ্রেপ্তারে হাইকোর্টের নির্দেশনা ভংগ এ সব কারনে হাই কোর্ট আগেই স্যুয়োমটো দিতে পারত  সমস্যা টি হয়েছে একটা দেশের সর্ববোচ্চ আদ:ালতকে চলতে হয়  বাইরের চাপে ,0
কারও প্রতিহীংসা পুরনে পরিমণীকে নিয়ে রাষ্ট্রের প্রতিষ্ঠান  যা করল একটা বাজে দৃষ্টান্ত হয়ে থাকল মাফিয়ার আধিপত্য চলছে শাসন ক্ষমতায় রাজনৈতিক ক্ষমতায় সামাজিক ক্ষমতায়  পরিমণি তার শিকার ,1
পাপীকে নহে পাপকে ঘৃণা কর---মহামানবদের কথা পরীমনি বুঝলাম অনেক কিছু করেছে এখানে একটা কথা আছে পরীমনি যদি কোন কাজ (নৈতিক কিংবা অনৈতিক) যা করুক না কেন তা কারও না কারও সাথে করেছে অত্থাত এক হাতে তালি বাজে না ------কই কাউকে তো ধরা হল লা তাহলে কেউ যদি সহযোগিতা না করে –তাহলে সে নির্দোষ -------- তাই পরীমনিকে শুধু জামিন না মুক্ত করে দেয়া উচিৎ  আর না হলে কে কে জড়িত আছে কি কি করেছে তা প্রকাশ করে তাদেরও গ্রেপ্তার করুক বিচার দেখতে চাই  এসবের শেষ হওয়া চাই মোট কথা আমি চাই- EXIT THE DRAGON ENTER THE TIGER ,1
পুলিশ রাষ্ট্রের বিচার ও সরকারের ভাবমূর্তি নিয়ে খেলছে,1
কিন্তু মহানগর দায়রা জজ জামিন আবেদন শুনানির জন্য ১৩ সেপ্টেম্বর দিন রেখেছেন যা আবেদনকারীর অধিকার ও স্বাধীনতাকে খর্ব করে------------------------------ এই ধরনের ঘটনা পুর্বেও কারো কারো ক্ষেত্রে ঘটেছে সেক্ষেত্রে এই সব  ভুক্তভোগী জামিন আবেদন কারী  তাদের অধিকার ও স্বাধিনতা খর্বের জন্য কি ধরনের প্রতিকার পেতে পারেন,1
এই দেশে শত কোটি টাকা মেরে দিলে কিছু হয় না খুনের পর খুন করলেও কিচু হয় না ভুমি দস্যুরা জোর করে গরিবের জমি দখল করলেও সরকারের টনক নড়ে না আমরা এমন একটা দেশে বসবাস করি যেখানে একজনের বাসায় মদ থাকার অপরাধে ২০০+ পুলিশ নিয়ে তাকে গ্রেফ্তার করতে যায় কিছুই বলার নাই (থুক্কু অনেক কিছু বলে ফেলছি),1
কোন একজন খুব ক্ষমতাধর মানুষ বা মানুষী পরীমনিকে প্রতিহিংসায় জর্জর করছে,1
ডা জাফরুল্লাহ চৌধুরীর মুখে পরীমনি নাটক জমে ক্ষীর🤓🤓,0
‌তেল মারা বন্ধ করুন,1
ডাঃ জাফরুল্লাহ চৌধুরীর ঈশপের গাধার গল্পটি পড়া উচিত সবাইকে খুশি করা যায়না কামাল হোসেন প্রমাণিত সুবিধাবাদী মানুষ ঝামেলা দেখলে তিনি সটকে পড়েন (১৯৮৬ ১৯৯১ স্নতর্ব্য)  তার এক পা বিমানে থাকে দেশের জনগণের সাথে তার কোনই সংযোগ নাই তাকে কেন জাতীয় সরকারের প্রধান করতে হবে বিচারপতি সাহাবুদ্দিন আহমদ এখনো কর্মক্ষম আছেন ,0
 আমি মনে করি পরিমনির রিমান্ড দেওয়ার মুল কারণ তাকে এতটায় মানসিকভাবে বিপর্যস্ত করা যাতে তিনি কারো বিরুদ্ধে  মুখ খুলতে শাহস না পান,1
গুরুতর প্রকৃতির অপরাধের ক্ষেত্রে সাধারণত দীর্ঘ সময় রিমান্ডে নেওয়া হয়ে থাকে জাতীয় নিরাপত্তা বা জনগুরুত্ব বিষয়ে গুরুতর মামলায় আদালতের এত দিনের রিমান্ডের অনুমতি দিতে দেখা যায় পরীমনিকে এত দিনের রিমান্ডে নেওয়া সংবিধানের চেতনা মৌলিক অধিকার ও সুপ্রিম কোর্টের নির্দেশনার (আটক ও রিমান্ড–সংক্রান্ত) লঙ্ঘন এখানে নিম্ন আদালতে পুলিশের জন্য বিদ্যমান আইনের লংঘন হয়েছে কিনা তা দেখা দরকার যে মামলায় লক্ষ মানুষের চোখ সেখানে নিম্ন আদালতে আইনের অব্যাহত অপব্যবহার সমাজের জন্য মারাত্মক প্রভাব ফেলছে,1
পরিমনি রাষ্ট্রীয় সন্ত্রাসের শিকার,1
কিরে ভাই দুনিয়াতে দেখি মন্দ লোকের পক্ষপাতদুষ্টের পাল্লা মে----লা ভারী🤔🤔🤔,1
সাতদফায় রিমান্ড শেষে এই রুল চেয়ে কি লাভ একটার পর একটা রিমান্ড যখন নেয়ে হলো তখন এরা ঘুমিয়ে ছিলেন,1
কেঁচো খুড়তে কেউটে না বের হয়ে আসে হয়তোবা এরকম কোনকিছুর কারণও হতে পারে পরিমণির দীর্ঘ সময় ধরে রিমান্ডে রাখা পরিমণি সত্যিই গুরুতর বা জঘণ্যতম দোষী বা আসামী হয়ে থাকে তাহলে বাংলাদেশ দন্ডবিধি অনুযায়ী তাকে সঠিক প্রমাণসাপেক্ষে দ্রুত শাস্তি হোক নয়তোবা বাংলাদেশী প্রথমশ্রেণীর নাগরিক হিসাবে তাকে কথা বলার সুযোগ দেওয়া হোক  আইন সবার জন্য প্রযোজ্য বাংলাদেশী নাগরিক হিসাবে আইন সবার জন্য বলবৎ সে যেই হোক না কেন যদি দোষী সাবস্থ হয় এবং যারা সংশ্লিষ্ট পরিমণির সাথে জড়িত শাস্তি সকলের সমান সমান হওয়া অতিব জরুরী,1
আমরাও এসব ব্যাপারে উচ্চ আদালত কি রায় দেয় তা জানার অপেক্ষায় আছি,1
পরীমনিকে এত দিনের রিমান্ডে নেওয়া সংবিধানের চেতনা মৌলিক অধিকার ও সুপ্রিম কোর্টের নির্দেশনার (আটক ও রিমান্ড–সংক্রান্ত) লঙ্ঘন------------------------- যারা এসব লঙ্ঘন করেন  বিশেষত চেতনাকে উলটপালট করে দেন তারা জানেন যে ওদের কিছুই হবেনা ওদের শেকড় বেশ শক্ত এবং ওরা আইন আদালতের কিঞ্চিৎ উর্দ্ধে অবস্থান করে থাকেন,1
একটায় লাভ অন্য কারোর যেন এমন ঘটনা আর না ঘটে,1
পরিমনির বেপরোয়া জীবন-যাপন থেকে আজ তার এই পরিনতি এতে অনেক কিছু শিক্ষনীয় আছে,0
পরীমনিতো খুনের আসামী না তাকে কোর্টে নিতে শখানিক পুলিশের কাজকি পুলিশ বাহিনীর আর কোন কাজ নাই মনে হয় সবকিছুতেই শো ডাউন করা একটা রেওয়াজ হয়ে দাড়িয়েছে যে ভাই বললেন পরীর নিরাপত্তার জন‍্য ওনার  জানার জন‍্য বলছি ইন্দিরা গান্ধী ও রাজীব গান্ধীকে রাষ্ট্র প্রধান হিসাবে সর্বোচ্চ নিরাপত্তায় হত‍্যা করা হয়েছে ওতো সামান্য পরী সবকিছুতে বাড়াবাড়ি ভালো না,1
একজন পরিমনীর সাথে রাষ্ট্র এমন ব্যবহার করছে যে ওনার চেয়ে বড় গণশত্রু  আর কেউ নেই আসলে অনেক বড় বড় রুই-কাতলা পেছনে থেকে কলকাঠি নাড়ছে যাতে পরিমনীকে একমাত্র দোষী বানিয়ে নিজেদের ফেঁসে যাওয়া এড়াতে পারে এইসব রুই-কাতলারা কখনই ধরা পড়ে না কিন্তু প্রাণ যায় পুঁটি মাছের,1
Jonaba underworld er shathey valo vabeyi jorriye porresey monney hossey,0
অপরাধীর পক্ষে যারা কথা বলে তাদের বিরুদ্ধে ব্যাবস্থা নেয়াটা জরুরী হয়ে পড়েছে  ,1
আদালতের কাছে আমার প্রশ্নঃ- পরীমনি অত বড় মাস্তান না তাকে কেউ আদালত পাড়া থেকে কেড়ে নিয়ে যাবে না তাহলে এত পুলিশ কেন,1
আসামী /মানুষকে রিমান্ডে নিয়ে কোন না কোন তথ্য পাওয়া যায় কে কে কারা কারা এসবে জড়িত ----কিন্তু দুঃখের বিষয় সে অনুসারে কি কোন কাউকে ধরেছে উত্তর না আমার মনে হয় যে সব নাম বলে তাদের কাছে সিস্টেম করে নেয় হায়  পরীমনিরা নাম অ প্রমান বল্লেও তারা সেফ হয়ে যায় সব দখল যায় পরীমনিদের উপর,1
জামিন হোক বা না হোক প্রতি সপ্তাহে জামিন শুনানী হবে আগে তাই ছিল সেপারেশনের পর এই যৌক্তিক নিয়ম বদলে গেল কেন আদতে জামিন শুনানী আর অপরাধ আমলে নেয়ে জুডিশিয়াল না হয়ে সেমি-জুডিসিয়াল প্রসেস হওয়া উচিত,1
আমার মনে হয় পরিমনির প্রতি অতিরিক্ত সহানুভূতি দেখানো হচ্ছে এতে হিতে বিপরীত হতে পারে পরিমনি এই মুহূর্তে ছাড়া পেলে আরও বেপরোয়া হয়ে উঠতে পারে তাই ওকে আরও কিছু দিন জেলার ভাত খাওয়ানো হোকযাতে ভালভাবে শিক্ষা হয়,0
এর আগে পরিমণী গ্রেপ্তার বার বার রি মান্ড  এক ব্যটেলিয়ান সৈন্য নিয়ে পরিমণীর উপর ঝাপিয়ে পড়া  আসামী গ্রেপ্তারে হাইকোর্টের নির্দেশনা ভংগ এ সব কারনে হাই কোর্ট আগেই স্যুয়োমটো দিতে পারত ,1
জ্যেষ্ঠ আইনজীবী জেড আই খান পান্না  পরিমনির মনোনিত আইনজীবি নয়,1
পড়িমনিরা হেতভাগা ,0
আদালত নিজেই জামিন দিলে ভালো হত,1
দেশটি মগের মুল্লুকে পরিণত হয়েছে এই দেশে খুন করলে শাস্তি হয় না দুই বোতল মদ পেলে রাষ্ট্র তার পুরো শক্তি নিয়ে ঝাপিয়ে পরে,1
কিছু মানুষের আচরণ দেখে মনে হয় মাদক সংশ্লিষ্ট অপরাধ তেমন বড় কিছু নয়,1
পরি মনির মুক্তি চাই,1
মানুষ খুন করে চুরি-চামারি করে ব্যাংক থেকে হাজার হাজার কোটি কোটি টাকা মেরে অসংখ মানুষের জীবন নষ্ট করে গায়ে হাওয়া লাগিয়ে ঘুরে বেরাচ্ছে অথছ পরিমনির ৩ খানা মাদক উদ্ধার করে (allegedly) পুলিশ আদালত ওনাকে নিয়ে পিং পং খেলা শুরু করেছে পুলিশের কি খেয়ে দেয়ে আর কাজ নাই no wonder even after doing some really good field work people have 0 trust in police and on our justice system Law enforcement and justice system should be ashamed on their actions Not sure about the law but even if her crime is proved why cant it be a fine with some social service,1
No Comments,1
এই মেয়েটির এত বার রিমান্ড চাওয়ার উদ্দেশ্য একটাই হতে পারে তাহল রাঘব বোয়ালদের নাম গোপন রাখার ওয়াদা আদায় করে নেওয়া,1
কিছু মানুষ অতিরিক্ত দরদ দেখিয়ে পরীকে ভবিষ্যতে আর ও অপরাধ করার উতসাহ যোগাচ্ছে,1
এখন অন্যায়ের পক্ষে কিছু স্বার্থপর মানুষ কথা বলে সময়টা খুবই ভয়ন্কর উশৃন্খল অপরাধী মাদক সেবিকে বাচাতে মানব বন্ধন ও হয় আজব ব্যাপার,1
এখন অন্যায়ের পক্ষে কিছু স্বার্থপর  মানুষ কথা বলে সময়টা খুবই ভয়ন্কর উশৃন্খল অপরাধী মাদক সেবিকে বাচাতে মানব বন্ধন ও হয় আজব ব্যাপার,1
পরীমণি হাজত থেকে বের হয়ে দেশের জন্য সমাজের জন্য অনন্য কিছু করবে না কে বলতে পারে  মহামান্য হাইকোর্ট এটা অনুধাবন করেছেন  অপদার্থ ছড়াকার সাংবাদিক এর কিছুর জামিন শুনানি পেছালো কি  না তাতে কি আসে যায়  আমাদের গ্রামের ঘরে ঘরে আরো পরীমনির জন্ম হোক এই প্রার্থনা করি  প্রাধিকার ভিত্তিতে জামিন শুনানি করা গেলে আমাদের ভবিষ্যৎ পরীমণিরা  অবশ্যই আশান্বিত হবেন  ইনশাল্লাহ পরীমণি তে ছেয়ে যাবে দেশ  অচিরেই ,1
পুলিশ আর আদালত মিললা মাইয়াটারে কি করতাছে যাক হাইকোর্ট জায়গা মত ধরসে মামলা চলুক জামিন পাওয়াটা জরুরি,1
আইনের চোখে সবাই সমান- যদি কোন রকমে আইনের ঠিক চোখের সামনে পড়া যায় পরিমনি পড়ে গিয়েছে সৌভাগ্যক্রমে  কিন্তু যারা পরিমনির মত সৌভাগ্যবতী না তাদের ব্যাপারেও যদি হাইকোর্ট একটু জিগ্যেস করতেন যে এটাই কি জামিনের শুনানির সময় নিরধারনের নিয়ম নাকি পরিমনির সাথেই শুধু এমনটা করা হয়েছে যদি এইটাই নিয়ম হয়ে থাকে তাহলে সেগুলোর শুনানিও কেন দুই দিনের মধ্যে নয়,1
হাইকোর্ট নিজেই জামিন দিলেই মিটে যায় পরীমনি জামিনে থাকলে রাষ্ট্রের ক্ষতি না কি কিছু লম্পট ব্যবসায়ীদের ক্ষতি,1
এটা ও একটা রিমান্ডের ওয়ালড রেকর্ড হবে,1
আপনি কি তার রাতের রাজা তার জামিন হলে আপনার কথা বলে দিবে,0
হতেও পারে BHUIYAN 1964 কেও হাজতে ঢুকানো হোক তারপরে আদালতে নিয়ে জিজ্ঞাসাবাদ করা হোক :) ,1
এটাকে দরদ দেখানো বলেণা এটাকে বলে অন্যায়ের বিরুদ্ধে কথা বলা পরিমণির জায়গায় অন্য কাউকে এভাবে বারবার রিমান্ডে নিলে ঈচ্ছাকরে তার জামিন পেছালে তার নাগরিক অধিকার হরণ করলে- সেটা নিয়েও প্রতিবাদ হত,1
আমি একটু বলতে চাই দেশের গোয়েন্দা বাহিনীকে অবশ‍্যই দেশের ও জনগণের সা্র্থে নিরপেক্ষ ভূমিকা পালন করা উচিত যেমনটি দেখেছিলাম ১/১১ এর সময়,1
আশাকরি আদালত পরীমনির প্রতি সদয় হবেন দেশের বরেন্য সাংবাদিক ও সাংস্কৃতিক কর্মীদের আকাঙ্ক্ষা আদালত বুঝবেন ও রাষ্ট্র র‌্যাব ও পুলিশের একজন নারীর প্রতি অন্যায় আদালত মেনে নেবে না,1
কারও  প্রতিহীংসা পুরনে  পরিমণীকে নিয়ে রাষ্ট্রের প্রতিষ্ঠান এক হয়ে যা করল একটা বাজে দৃষ্টান্ত হয়ে থাকল ,1
ভয়ংকর মাফিয়া উথানে  মাফিয়ার আধিপত্য চলছে শাসন ক্ষমতায় রাজনৈতিক ক্ষমতায় সামাজিক ক্ষমতায়  পরিমণি তার শিকার  মাফিয়ারা যখন সবকিছু নিয়ন্ত্রন করে তখন আইনের সব ধারা void হয়ে যায়   সব কিছু  চলে তখনমাফিয়ার  ইচ্ছা ধারায় ,1
কেউ বলছেন পরীমনি নির্দোষ তো কেউ বলছেন দোষী কারো নিকট বিপুল পরিমাণ মাদক পাওয়া গেলে তিনি কী দোষী না নির্দোষ পরীমনির পজেশনে (POSSESSION) যে পরিমাণ ইয়াবা পাওয়া গেছে তা কী তাঁর নাকী ইমপ্ল্যান্ট করা হয়েছে () যদি ইমপ্ল্যান্ট করা হয়ে থেকে থাকে তবে বুঝতেই পারা যায় দেশের পরিস্থিতি কী ভয়াবহ() এই ভয়ানক পরিস্থিতির মাঝে আমাদের নিজেদের ইয়া নাফসী ইয়া নফসী ইয়া-নাফসি না করে পরীমনি কে নিয়ে ভাবার ফুরসৎ কার আছে(),1
কি অবস্থা  কয়েকজন ব্যবসায়ী দ্বারা ধর্ষণ চেষ্টার শিকার একজন  পিতৃ-মাতৃহীন ২৮ বছরের নারী তার বিরুদ্ধে হওয়া অন্যায়ের প্রতিবাদ করার জন্য -  একটা গোটা রাষ্ট্র একটা গোটা জাতি তাকে জব্দ করার জন্য - পুলিশ প্রশাসন বিচারব্যবস্থাকে ভুল পথে চালিত করে সর্বশক্তি প্রয়োগ করছে   ভাবা যায়  এরা আবার তালিবানি শাসনের সমালোচনা  করে ,1
বাংলাদেশটা একটি ব্যবসায়ী গো্ষ্ঠীর হাতে জিম্মি  প্রশাসন আইন-সৃঙখলা বাহিনী  বিচার সবই ওদের  না হলে নাছির সাহেব জামিন পান পরের দিন মাদক-মদ-নারীদের সহ হাতে নাতে ধরা পড়ে আর পরীমনিকে নিয়ে কত নাটক কত টানাটানি,1
PORIMONI MUST GET BAIL,1
জামিন যেন না হয়,0
নাছিরউদ্দীনের জামিন হলে তারও জামিন পাওয়ার কথা,1
বেচারি জামিন হওয়া উচিত,1
অবসই পরিমনির জামিনের জন্য প্রয়োজনকারণ তার দোষ নইতাকে দিয়ে কয়েক জন ব্যবসা করছেপরিমনি জামিন চাই জামিন চাই জামিন চাইদিতে হবে দিতে হবে,1
কী সুন্দর আয়োজন আমরা অপেক্ষা করছি নাটকের পরিসমাপ্তির আসল সত্য জানার জন্য আর কত সময় প্রয়োজন ,1
নিরাপদ সড়ক চাই আন্দোলনের সময় গ্রেপ্তার নওশাবা জামিন পাবার জন্য যে পন্থা অনুসরণ করেছিলপরীমনিকে সেই একই পন্থা অনুসরণ করতে হবে,1
এসপির মান-সম্মান বলে কথা,1
মামুনুল সাহেবের জন্য রিট করা হয়নি কেন সেখানে ব্যক্তিগত গোপনীয়তার বিষয় আসে না কেন,1
বিভিন্ন অনলাইন মাধ্যমে টাকা রোজগারের একটা উপায় হচ্ছে এইসব কন্টেন্ট মানুষ এইসব দেখে আনন্দ পায় তাই বেশি বেশি দেখে সত্যকে মিথ্যা আর মিথ্যাকে সত্য জানে এগুলো বন্ধ হওয়া উচিত খুব শিগগিরি ভাবতে অবাক লাগে বাংলাদেশ থেকে কোভিড-১৯ টিকার অপপ্রচার হয়েছে সবচেয়ে বেশি,0
tahole toh chorkhuni tarao ki ay undare porbe khun korar por kew jodi tar kono vedio ba photo samajik jogajog maddome prokash kore tahole ki sei khuni bolte parbe j tar mansonman khunno hoese,1
দাঁড়ি টুপি ওলা কারও বেলায় তো এরকম রিট হতে দেখলাম না,1
